Country,Spending,Year
Saudi Arabia,56930546,2024
China,54113387,2024
Japan,53005905,2024
Turkey,28194435,2024
Ireland,26059269,2024
Marshall Islands,25168534,2024
United Arab Emirates,24417114,2024
Bermuda,21273118,2024
South Korea,19544366,2024
Canada,19197360,2024
Liberia,235570089,2023
Saudi Arabia,101914691,2023
China,85389954,2023
Japan,69456471,2023
Hong Kong,57353674,2023
Bahamas,52861943,2023
Marshall Islands,45788300,2023
United Arab Emirates,41781360,2023
South Korea,39553961,2023
Canada,22781919,2023
China,66880279,2022
South Korea,49684329,2022
Bahamas,48617530,2022
Japan,46447521,2022
Marshall Islands,46445344,2022
Liberia,44615269,2022
United Arab Emirates,42273318,2022
Hong Kong,37719104,2022
Ireland,31053435,2022
Qatar,29812193,2022
China,84268103,2021
Japan,47318038,2021
Qatar,46841065,2021
South Korea,37381874,2021
Russia,36657417,2021
United Arab Emirates,31544866,2021
Marshall Islands,30032779,2021
Liberia,29658477,2021
Canada,27226735,2021
Saudi Arabia,25456629,2021
China,73480230,2020
Qatar,54766838,2020
Russia,42738012,2020
South Korea,34676828,2020
Bahamas,33424390,2020
Marshall Islands,33338999,2020
Japan,30775255,2020
United Arab Emirates,25052182,2020
Bermuda,23272481,2020
Saudi Arabia,17804415,2020
China,67478420,2019
Qatar,62442517,2019
Russia,45707248,2019
Japan,43086004,2019
South Korea,37480879,2019
Marshall Islands,35407502,2019
Bermuda,34398262,2019
Israel,30837508,2019
Ireland,29166903,2019
United Arab Emirates,26488865,2019
Israel,50654771,2018
South Korea,41700799,2018
Saudi Arabia,39273438,2018
Marshall Islands,36853134,2018
Japan,34461892,2018
Russia,33452230,2018
Bermuda,31788154,2018
Ireland,22837271,2018
Bahamas,20699041,2018
United Arab Emirates,18919229,2018
