Country/Location Represented,Total_Registrations,Active_Registrations,Terminated_Registrations,Unique_Registrants
JAPAN,1175,53,1122,519
CANADA,816,22,794,434
MEXICO,576,10,566,302
GREAT BRITAIN,548,3,545,324
FRANCE,510,2,508,281
"KOREA, SOUTH",438,20,418,267
"GERMANY, FEDERAL REPUBLIC OF",390,0,390,140
INTERNATIONAL,336,5,331,187
ISRAEL,305,15,290,200
USSR,302,0,302,149
CHINA,275,17,258,191
SAUDI ARABIA,270,38,232,179
TAIWAN,267,20,247,181
RUSSIA,247,5,242,116
DOMINICAN REPUBLIC,237,14,223,179
ITALY,229,4,225,143
NETHERLANDS,224,2,222,134
SWITZERLAND,201,5,196,141
TURKEY,192,14,178,150
AUSTRALIA,191,11,180,136
GERMANY,183,12,171,119
POLAND,181,4,177,143
CUBA,181,0,182,106
BRAZIL,180,3,177,104
HAITI,180,6,174,148
UKRAINE,179,19,160,131
VENEZUELA,179,20,159,140
SPAIN,176,3,173,124
PHILIPPINES,171,0,171,110
PANAMA,169,6,163,128
UNITED ARAB EMIRATES,166,28,138,104
SOUTH AFRICA,159,6,153,128
SWEDEN,155,3,152,86
COLOMBIA,153,5,148,99
NIGERIA,149,6,143,110
HONG KONG,134,6,128,100
JAMAICA,131,2,129,86
ARGENTINA,131,2,129,91
PAKISTAN,129,12,117,109
INDIA,129,7,122,101
ROMANIA,128,5,123,95
QATAR,127,28,99,102
AUSTRIA,120,3,117,80
IRAQ,120,21,99,101
INDONESIA,119,6,113,95
CZECHOSLOVAKIA,116,0,116,84
GUATEMALA,109,1,108,84
THAILAND,104,5,99,80
MOROCCO,103,11,92,92
BELGIUM,101,4,97,65
HUNGARY,101,1,100,78
NORWAY,100,3,97,81
NICARAGUA,99,0,99,78
IRELAND,97,5,92,67
BAHAMAS,96,7,89,66
EGYPT,95,3,92,74
LIBERIA,93,5,88,78
GREECE,93,2,91,76
DENMARK,87,3,84,59
EL SALVADOR,85,1,84,72
CHILE,85,0,85,60
LIBYA,79,3,76,66
PERU,79,1,78,60
ANGOLA,76,6,70,61
ECUADOR,75,1,74,62
BERMUDA,75,5,70,61
GEORGIA,74,2,72,58
CAYMAN ISLANDS,73,3,70,51
COSTA RICA,72,2,70,55
"CONGO, DEMOCRATIC REPUBLIC OF THE",72,15,57,61
UNITED KINGDOM,70,7,63,63
YUGOSLAVIA,69,0,69,51
IRAN,69,7,62,56
MALAYSIA,68,5,63,59
"CONGO, REPUBLIC OF THE",67,6,61,52
BULGARIA,65,1,64,54
COTE D'IVOIRE (IVORY COAST),64,9,55,47
GERMAN DEMOCRATIC REPUBLIC,64,0,64,29
ETHIOPIA,62,3,59,54
LEBANON,61,2,59,53
HONDURAS,61,2,59,49
FINLAND,61,2,59,46
KUWAIT,60,1,59,49
BARBADOS,59,2,57,34
AZERBAIJAN,59,5,54,50
KAZAKHSTAN,59,4,55,47
SINGAPORE,58,2,56,50
CYPRUS,56,6,50,52
PORTUGAL,56,1,55,46
JORDAN,55,2,53,49
SOMALI DEMOCRATIC REPUBLIC,52,1,51,45
NEW ZEALAND,51,1,50,40
NETHERLANDS ANTILLES,50,0,50,39
AFGHANISTAN,47,3,44,36
GABON,47,0,47,42
ALGERIA,46,2,44,36
KENYA,45,6,39,41
SCOTLAND,44,2,42,37
BANGLADESH,43,2,41,40
SUDAN,43,3,40,39
BOLIVIA,42,0,42,40
VIETNAM,42,4,38,34
TRINIDAD AND TOBAGO,41,0,41,36
ALBANIA,39,3,36,35
SERBIA,39,6,33,38
SRI LANKA,39,1,38,37
BAHRAIN,38,5,33,33
CAMBODIA,36,5,31,31
PALESTINE,36,3,33,28
ICELAND,35,3,32,31
UZBEKISTAN,35,4,31,31
MARSHALL ISLANDS,35,5,30,32
GUYANA,34,3,31,29
TUNISIA,33,0,33,29
UGANDA,31,3,28,24
BOSNIA & HERZEGOVINA,31,12,19,30
NORTHERN IRELAND,30,1,29,27
LUXEMBOURG,30,1,29,24
CROATIA,29,1,28,26
CAMEROON,29,1,28,27
GHANA,29,1,28,25
ARUBA,28,2,26,25
ZIMBABWE,27,0,27,25
CURACAO,26,0,26,22
TOGO,26,1,25,22
ZAIRE,25,0,25,22
KOSOVA,25,0,25,23
ANTIGUA & BARBUDA,25,0,25,22
SYRIA,23,2,21,19
YEMEN,23,6,17,21
MOZAMBIQUE,22,1,21,22
MONGOLIA,22,5,17,13
ZAMBIA,22,0,22,18
OMAN,22,0,22,18
GRENADA,21,0,21,20
MALAWI,21,1,20,17
SIERRA LEONE,21,0,21,21
UNITED STATES,20,0,20,16
SAINT LUCIA,20,1,19,20
LATVIA,19,0,19,15
NAMIBIA,19,0,19,17
EQUATORIAL GUINEA,19,1,18,19
BRITISH VIRGIN ISLANDS,19,3,16,18
SENEGAL,18,0,18,17
RWANDA,17,3,14,16
PARAGUAY,17,1,16,13
MYANMAR (BURMA),17,1,16,16
LITHUANIA,16,0,16,15
MOLDOVA,15,0,15,15
ARMENIA,15,3,12,15
URUGUAY,15,0,15,13
GUINEA,14,0,14,13
DOMINICA,14,1,13,14
MACEDONIA,14,0,14,13
MONACO,14,2,12,13
TANZANIA,14,1,13,13
MAURITANIA,14,1,13,14
SURINAME,13,0,13,11
LIECHTENSTEIN,13,2,11,11
MALTA,13,0,13,10
BELIZE,13,1,12,12
ST. KITTS AND NEVIS,12,2,10,12
PALAU,12,2,10,11
BENIN,12,1,11,9
TURKS AND CAICOS ISLANDS,12,0,12,9
ERITREA,12,2,10,11
SLOVENIA,12,0,12,9
BELARUS,12,0,12,11
CZECHIA,11,2,9,11
PAPUA NEW GUINEA,11,1,10,11
FIJI,11,0,11,10
SWAZILAND,11,0,11,11
MAURITIUS,10,0,10,9
SOMALIA,10,6,4,8
MONTENEGRO,10,0,10,10
BURKINA FASO,10,1,9,10
SLOVAKIA,10,0,10,8
BOTSWANA,10,1,9,7
ANGUILLA,10,0,10,8
BIAFRA,9,0,9,9
MALDIVES,9,0,9,8
KYRGYZSTAN,8,3,5,8
MALI,8,2,6,8
LAOS,8,0,8,6
BRUNEI,8,0,8,8
CHAD,8,0,8,7
BURUNDI,8,3,5,8
"GAMBIA, THE",8,0,8,7
SAINT VINCENT AND THE GRENADINES,7,0,7,7
TIBET,7,1,6,6
TONGA,7,0,7,6
SOUTH SUDAN,7,5,2,7
SEYCHELLES,7,0,7,7
TRANSKEI,7,0,7,7
NAURU,7,0,7,6
REPUBLIC OF SOUTH SUDAN,7,0,7,6
NIGER,7,2,5,6
BOPHUTHATSWANA,7,0,7,7
CABO VERDE,7,0,7,7
MONTSERRAT,7,0,7,6
ISLE OF MAN,6,0,6,5
VANUATU,6,2,4,6
PUERTO RICO,6,0,6,5
NEPAL,6,0,6,6
CEYLON (SRI LANKA),6,0,6,6
VIRGIN ISLANDS,6,0,6,6
MADAGASCAR,6,0,6,6
LESOTHO,6,0,6,3
MACAU,6,0,6,6
TAHITI,5,0,5,5
GUADELOUPE & MARTINIQUE,5,0,5,4
MICRONESIA,5,2,3,5
ESTONIA,5,0,5,5
"KOREA, NORTH",4,0,4,4
DJIBOUTI,4,0,4,4
TAJIKISTAN,4,0,4,4
CENTRAL AFRICAN REPUBLIC,4,0,4,4
UNKNOWN,4,0,4,1
SOMALILAND,4,2,2,3
CHANNEL ISLANDS,4,0,4,3
"SOUTH MOLUCCAS, REPUBLIC OF",4,0,4,4
ST. EUSTATIUS,3,0,3,3
BONAIRE,3,0,3,3
CISKEI,3,0,3,3
GUINEA-BISSAU,3,0,3,3
BURMA,3,3,0,3
TURKMENISTAN,3,1,2,3
ST. MARTIN,3,0,3,3
NAGORNO KARABAKH,3,0,3,3
GUERNSEY,3,0,3,3
ENGLAND,2,0,2,1
"UNITED STATES, MISCELLANEOUS CARIBBEAN ISLANDS",2,0,2,2
WEST BERLIN,2,0,2,1
TIMOR-LESTE (EAST TIMOR),2,0,2,2
NEW CALEDONIA,2,0,2,2
SAHARAWI ARAB DEMOCRATIC REPUBLIC,2,1,1,2
DAHOMEY,2,0,2,2
SAN MARINO,2,0,2,2
"YEMEN, PEOPLES DEMOCRATIC REPUBLIC OF YEMEN",2,0,2,2
WESTERN SAMOA,2,0,2,2
ANDORRA,1,0,1,1
VATICAN CITY,1,0,1,1
KIRIBATI,1,0,1,1
VENDA,1,0,1,1
UNITED KINGDOM OF CORALLAND,1,0,1,1
GIBRALTAR,1,1,0,1
NORTH MACEDONIA,1,1,0,1
